date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:33:44	55111/55111	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:33:43%20GMT	https://www.w3schools.com/xml/schema_intro.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/schema_intro.html	(from )
23:33:47	134/134	---M-Z	200	added ('OK')	text/plain	etag:%2255c342fcd390d11:0+gzip%22	https://www.w3schools.com/robots.txt		(from )
23:33:48	32037/32037	---M-Z	200	added ('OK')	text/css	etag:%220b18a3f898bd21:0-gzip%22	https://www.w3schools.com/lib/w3.css	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/lib/w3.css	(from https://www.w3schools.com/xml/schema_intro.asp)
23:33:49	27805/27805	---MC-	200	added ('OK')	text/javascript	date:Wed,%2028%20Sep%202016%2020:19:01%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/anonymous/Desktop/xml_Schema/asd/www.google-analytics.com/analytics.js	(from https://www.w3schools.com/xml/schema_intro.asp)
23:33:50	2238/2238	---MC-	200	added ('OK')	text/javascript	date:Fri,%2017%20Feb%202017%2020:23:52%20GMT	https://www.googletagservices.com/tag/js/gpt.js	C:/Users/anonymous/Desktop/xml_Schema/asd/www.googletagservices.com/tag/js/gpt.js	(from https://www.w3schools.com/xml/schema_intro.asp)
23:33:52	7300/7300	---M-Z	200	added ('OK')	application/javascript	etag:%221c84-548c45cbc4bba-gzip%22	https://www.w3schools.com/ezoic/imp2.js?cb=144-3&v=10	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/ezoic/imp2a7d3.js	(from https://www.w3schools.com/xml/schema_intro.asp)
23:33:53	61456/61456	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:33:52%20GMT	https://www.w3schools.com/xml/default.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/default.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:33:55	54723/54723	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:33:55%20GMT	https://www.w3schools.com/xml/ajax_intro.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/ajax_intro.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:33:59	60844/60844	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:33:58%20GMT	https://www.w3schools.com/xml/dom_intro.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/dom_intro.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:34:01	53721/53721	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:34:01%20GMT	https://www.w3schools.com/xml/xml_dtd_intro.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xml_dtd_intro.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:34:03	53527/53527	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:34:03%20GMT	https://www.w3schools.com/xml/xsl_intro.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xsl_intro.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:34:05	52431/52431	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:34:05%20GMT	https://www.w3schools.com/xml/xpath_intro.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xpath_intro.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:34:07	52562/52562	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:34:06%20GMT	https://www.w3schools.com/xml/xquery_intro.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xquery_intro.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:34:08	58229/58229	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:34:08%20GMT	https://www.w3schools.com/xml/dom_nodetype.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/dom_nodetype.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:34:10	54870/54870	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:34:10%20GMT	https://www.w3schools.com/xml/dom_http.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/dom_http.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:34:13	56402/56402	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:34:13%20GMT	https://www.w3schools.com/xml/xsl_elementref.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xsl_elementref.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:34:17	57847/57847	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:34:16%20GMT	https://www.w3schools.com/xml/schema_elements_ref.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/schema_elements_ref.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:34:20	52623/52623	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:34:19%20GMT	https://www.w3schools.com/xml/xml_examples.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xml_examples.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:34:23	53082/53082	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:34:22%20GMT	https://www.w3schools.com/xml/xsl_examples.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xsl_examples.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:34:27	55546/55546	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:34:27%20GMT	https://www.w3schools.com/xml/xpath_examples.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xpath_examples.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:34:30	68901/68901	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:34:30%20GMT	https://www.w3schools.com/xml/schema_example.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/schema_example.html	(from https://www.w3schools.com/xml/schema_intro.asp)
